netuid,name,symbol,price_tao,price_usd,tao_price_usd,uid_fill_pct,subnetwork_n,max_n,burn_tao,alpha_in,alpha_out,emission_tao,tempo,total_subnets,fetched_at
0,Root,Τ,1.0,249.91,249.91,100.0,64,64,0.0,0,0,0.0,0,129,2026-04-25T00:00:00+00:00
1,Apex,α,0.0111,2.77,249.91,100.0,256,256,0.0031,0,0,0.0,99,129,2026-04-25T00:00:00+00:00
2,DSperse,β,0.00678,1.69,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
4,Targon,δ,0.05816,14.53,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
8,Vanta,θ,0.03669,9.17,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
15,ORO,ο,0.035,8.76,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
34,BitMind,י,0.014,3.50,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
44,Score,ף,0.035,8.68,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
51,lium.io,ת,0.056,13.99,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
56,Gradients,ج,0.022,5.43,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
62,Ridges,ז,0.029,7.22,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
64,Chutes,ش,0.08283,20.70,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
66,ninja,ض,0.015,3.76,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
68,NOVA,ظ,0.017,4.20,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
75,Hippius,م,0.024,6.12,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
85,Vidaio,ᚱ,0.012,3.02,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
91,Bitstarter #1,ᚁ,0.012,2.90,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
93,Bitcast,ᚃ,0.015,3.65,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
95,nion,ᚅ,0.028,6.91,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
96,Verathos,᚛,2.96609,741.25,249.91,97.0,250,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
97,distil,ა,0.049,12.24,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
105,Beam,Գ,0.01,2.49,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
107,Minos,ミ,0.016,4.02,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
114,SOMA,Ե,0.01,2.43,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
117,BrainPlay,ᛒ,0.01,2.49,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
120,Affine,ⴷ,0.072,17.90,249.91,100.0,256,256,0.0005,0,0,0.0,360,129,2026-04-25T00:00:00+00:00
